,Unnamed: 0,price,minimum_nights,availability_365,number_of_reviews,neighbourhood_group_Bronx,neighbourhood_group_Brooklyn,neighbourhood_group_Manhattan,neighbourhood_group_Queens,neighbourhood_group_Staten Island,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room
22727,22727,170,1,0,1,0,1,0,0,0,1,0,0,0
32771,32771,170,3,242,50,0,0,0,1,0,1,0,0,0
40188,40188,170,1,0,6,0,0,1,0,0,1,0,0,0
18144,18144,170,2,0,26,0,1,0,0,0,1,0,0,0
21784,21784,170,1,0,16,0,0,1,0,0,1,0,0,0
46643,46643,170,3,84,3,0,1,0,0,0,1,0,0,0
34102,34102,170,1,180,24,0,0,1,0,0,1,0,0,0
42235,42235,170,1,168,7,0,0,1,0,0,1,0,0,0
32611,32611,170,3,63,7,0,0,1,0,0,1,0,0,0
22740,22740,170,2,41,27,0,1,0,0,0,1,0,0,0
20038,20038,170,3,0,1,0,0,1,0,0,1,0,0,0
47129,47129,170,5,18,1,0,0,1,0,0,1,0,0,0
19834,19834,170,3,46,10,0,1,0,0,0,1,0,0,0
30474,30474,170,1,348,41,0,1,0,0,0,1,0,0,0
40706,40706,170,30,339,1,0,0,1,0,0,1,0,0,0
39137,39137,170,3,259,23,0,0,1,0,0,1,0,0,0
17988,17988,170,30,336,0,0,0,1,0,0,1,0,0,0
50280,50280,170,2,241,0,0,1,0,0,0,1,0,0,0
35160,35160,170,30,219,1,0,0,1,0,0,1,0,0,0
19785,19785,170,4,6,32,0,0,1,0,0,1,0,0,0
13535,13535,170,1,0,0,0,0,1,0,0,1,0,0,0
28474,28474,170,2,3,20,0,0,1,0,0,1,0,0,0
46033,46033,170,30,365,0,0,0,1,0,0,1,0,0,0
3235,3235,170,2,0,24,0,1,0,0,0,1,0,0,0
18490,18490,170,3,7,6,0,1,0,0,0,1,0,0,0
33999,33999,170,2,47,36,0,0,1,0,0,1,0,0,0
39100,39100,170,4,23,5,0,1,0,0,0,1,0,0,0
1733,1733,170,7,0,41,0,1,0,0,0,1,0,0,0
15045,15045,170,1,61,7,0,0,1,0,0,0,0,1,0
8662,8662,170,7,0,3,0,1,0,0,0,1,0,0,0
6810,6810,170,30,299,21,0,0,1,0,0,1,0,0,0
42740,42740,170,1,224,3,0,1,0,0,0,1,0,0,0
14076,14076,170,4,0,2,0,1,0,0,0,1,0,0,0
21663,21663,170,3,0,0,0,0,1,0,0,1,0,0,0
1143,1143,170,2,1,199,0,0,1,0,0,0,0,1,0
41481,41481,170,5,0,1,0,0,1,0,0,1,0,0,0
15252,15252,170,3,254,127,0,0,1,0,0,1,0,0,0
4711,4711,170,2,0,41,0,1,0,0,0,1,0,0,0
10302,10302,170,2,0,1,0,0,1,0,0,1,0,0,0
485,485,170,3,0,67,0,1,0,0,0,1,0,0,0
47125,47125,170,1,21,4,0,1,0,0,0,1,0,0,0
49562,49562,170,1,15,2,0,0,1,0,0,1,0,0,0
39092,39092,170,4,1,5,0,0,1,0,0,1,0,0,0
8189,8189,170,14,4,12,0,0,1,0,0,1,0,0,0
47126,47126,170,30,27,0,0,0,1,0,0,1,0,0,0
5327,5327,170,4,335,54,0,1,0,0,0,1,0,0,0
22710,22710,170,30,365,7,0,0,1,0,0,1,0,0,0
41569,41569,170,1,329,27,0,0,1,0,0,1,0,0,0
48501,48501,170,7,179,0,0,0,0,1,0,1,0,0,0
32357,32357,170,1,173,56,0,0,0,1,0,1,0,0,0
15158,15158,170,29,178,0,0,0,1,0,0,1,0,0,0
22056,22056,170,14,269,23,0,1,0,0,0,1,0,0,0
38873,38873,170,2,3,28,0,0,1,0,0,1,0,0,0
29526,29526,170,21,38,11,0,0,1,0,0,1,0,0,0
38869,38869,170,3,8,0,0,0,1,0,0,1,0,0,0
22113,22113,170,10,11,7,0,0,1,0,0,1,0,0,0
29909,29909,170,3,0,2,0,0,1,0,0,1,0,0,0
29532,29532,170,2,0,5,0,0,1,0,0,0,0,1,0
29545,29545,170,1,12,13,0,0,1,0,0,1,0,0,0
4577,4577,170,2,2,39,0,0,1,0,0,1,0,0,0
16142,16142,170,5,0,2,0,1,0,0,0,1,0,0,0
29566,29566,170,2,0,11,0,0,1,0,0,1,0,0,0
29875,29875,170,3,27,23,0,1,0,0,0,1,0,0,0
22299,22299,170,2,33,66,0,1,0,0,0,1,0,0,0
29590,29590,170,2,17,11,0,0,1,0,0,1,0,0,0
8824,8824,170,1,0,0,0,1,0,0,0,1,0,0,0
46684,46684,170,2,307,1,0,0,1,0,0,1,0,0,0
4598,4598,170,1,0,9,0,0,1,0,0,1,0,0,0
39730,39730,170,1,161,16,0,0,1,0,0,1,0,0,0
16012,16012,170,2,3,101,0,1,0,0,0,1,0,0,0
5739,5739,170,1,0,2,0,0,1,0,0,1,0,0,0
29478,29478,170,20,0,1,0,0,1,0,0,1,0,0,0
