,Unnamed: 0,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26003,26013,21923649,Private basement studio in Greenpoint,8494658,Rebecca,Brooklyn,Greenpoint,40.7264,-73.95613,Entire home/apt,99,14,12,2019-05-31,0.55,1,30
22928,22929,19829900,Modern Front Apartment in Brooklyn!,123634626,Livia,Brooklyn,Bensonhurst,40.61889,-73.99895,Entire home/apt,99,3,39,2019-11-17,1.99,1,347
7689,7689,6334236,Brooklyn Tranquil Artist Space,32901759,Danielle,Brooklyn,Crown Heights,40.6756,-73.92305,Entire home/apt,99,3,68,2019-10-26,1.23,1,345
1129,1129,516452,"Big, Bright, and Beautiful",2542888,Catrinel,Brooklyn,Fort Greene,40.68679,-73.97378,Entire home/apt,99,30,6,2019-08-03,0.07,1,252
20680,20680,17923165,☆THE village experience!!,47056437,Ann,Manhattan,West Village,40.72999,-74.0034,Private room,99,1,0,,,1,0
12777,12777,10192593,"Cozy Room in LIC, 7 min to TimesSq",1589909,Alosha,Queens,Long Island City,40.74392,-73.95147,Private room,99,13,12,2019-10-01,0.31,2,351
1941,1941,938022,Private Bedroom in Williamsburg,1866827,Gregory,Brooklyn,Williamsburg,40.7078,-73.94827,Private room,99,1,101,2019-11-04,1.23,2,357
12868,12868,10289124,"2 BR Brownstone Retreat, 3rd Fl.",31919780,Neil,Brooklyn,Bedford-Stuyvesant,40.68507,-73.93888000000003,Entire home/apt,99,3,103,2019-11-30,2.28,2,64
19466,19466,16525573,Park Avenue 1 Bedroom,50760546,CRNY Monthly Rentals,Manhattan,Midtown,40.74506,-73.98201999999998,Entire home/apt,99,29,4,2019-10-16,0.17,29,356
50153,50169,40409816,Room with queen bed in a modern space,312489413,Pablo,Manhattan,Gramercy,40.73348,-73.98153,Private room,99,4,0,,,1,134
32809,32819,28430186,Gorgeous Artists'  loft ★ Prime location,76232256,Natalia,Brooklyn,Williamsburg,40.71736,-73.95361,Private room,99,3,22,2019-10-31,1.48,1,217
35964,35974,30891733,BEAUTIFUL AND SPACIOUS STUDIO CLOSE TO LGA AND JFK,230584533,Sonia,Queens,Corona,40.745,-73.85927,Entire home/apt,99,1,118,2019-11-24,10.03,1,338
13035,13035,10516610,Lovely Room in Historic Brownstone,54210823,Kristin,Manhattan,Upper West Side,40.79004000000001,-73.97308000000002,Private room,99,1,0,,,1,308
37145,37155,31961126,Private Apartment/4 Guests w/Parking. Nr Beach&JFK,209374833,Candia,Queens,Edgemere,40.59555,-73.76942,Entire home/apt,99,3,20,2019-11-30,3.09,2,168
15774,15774,13424996,Breezy Bushwick Apartment with Backyard,4392549,Eleanor,Brooklyn,Bushwick,40.69507,-73.92081,Entire home/apt,99,2,4,2016-07-25,0.1,1,0
44402,44412,37720576,NYC lights are just 25min free ferry ride away,21194343,Marisa,Staten Island,Stapleton,40.6273,-74.07723,Entire home/apt,99,2,7,2019-12-02,2.26,1,201
9992,9992,8190219,Huge apartment on tree-lined street,1597935,Elyse,Brooklyn,Prospect Heights,40.67697,-73.97069,Entire home/apt,99,7,11,2018-04-13,0.22,1,0
11945,11945,9754436,Awesome room in 2br design Apartment in LES,15231059,Apollo,Manhattan,Lower East Side,40.7203,-73.98698,Private room,99,3,27,2019-11-15,0.56,6,246
49516,49532,40182687,BIG PRIVATE BEDROOM ON THE UPPER WEST SIDE!,270631254,Peter,Manhattan,Upper West Side,40.79884000000001,-73.97198,Private room,99,1,0,,,2,56
41502,41512,35558366,"离缅街步行9分钟的独立房间,提供免费矿泉水(房间随机)",151810361,Thanks,Queens,Flushing,40.76313,-73.8234,Private room,99,1,17,2019-11-09,2.97,5,338
30699,30709,26356921,Bedroom New York City Center | Book It Now! - 23B2,190921808,John,Manhattan,Hell's Kitchen,40.7551,-73.99556,Private room,99,7,14,2019-10-13,0.88,48,360
30695,30705,26355142,Room w/ Private Entrance-NYC Center-TimesSq - 42D,190921808,John,Manhattan,Hell's Kitchen,40.75505,-73.99531,Private room,99,1,8,2019-10-05,0.47,48,353
